IATA,Terminal
RHC,Redhill Aviation
RAV,Reed Aviation
REF,Reef Air
REK,Reem Air
RVV,Reeve Aleutian Airways
RBH,Regal Bahamas International Airways
RGY,Regency Airlines
RAH,Regent Air
RAG,Regio Air
RGR,Region Air
TSH,Regional 1
RIL,Regional Air
REW,Regional Air Express
RGL,Regional Air Lines
REG,Regional Air Services
,Regional Airlines
RXA,Regional Express
JJM,Regional Geodata Air
CEA,RegionsAir
REL,Reliance Aviation
RLT,Reliant Airlines
RTS,Relief Transport Services
RAN,Renan
ROA,Reno Air
RGS,Renown Aviation
RPA,Republic Airlines
RPH,Republic Express Airlines
RBC,Republicair
RST,Resort Air
RDS,Rhoades Aviation
RIU,Riau Airlines
RIA,Rich International Airways
RVC,Richards Aviation
RIC,Richardson's Airway
RCA,Richland Aviation
HPR,Rick Lucas Helicopters
RLE,Rico Linhas A
RID,Ridder Avia
RAK,Riga Airclub
RAZ,Rijnmond Air Services
POL,Rikspolisstyrelsen
RIM,Rimrock Airlines
SKA,Rio Air Express
REO,Rio Airways
GRN,Rio Grande Air
RSL,Rio Sul Servi
RVM,River Ministries Air Charter
RGP,River State Government of Nigeria
UNR,Rivne Universal Avia
RDL,Roadair Lines
RBT,Robinton Aero
ROX,Roblex Aviation
RKW,Rockwell Collins Avionics
ROC,Rocky Mountain Airlines
RMA,Rocky Mountain Airways
LIF,Rocky Mountain Holdings
RDZ,Rodze Air
FAD,Rog-Air
RRZ,Rollright Aviation
RRL,Rolls-Royce Limited
BTU,Rolls-Royce plc
ROF,Romanian Air Force
RMV,Romavia
RNS,Ronso
ROR,Roraima Airways
RNB,Rosneft-Baltika
NRG,Ross Aviation
RFS,Rossair
RSS,Rossair
ROS,Rossair Europe
,Rossiya
RAL,Roswell Airlines
RAR,Air Rarotonga
RTR,Rotatur
RKT,Rotormotion
JCR,Rotterdam Jet Center
ROV,Rover Airways International
VOS,Rovos Air
RCG,Royal Air Cargo
RFR,Royal Air Force
MJN,Royal Air Force of Oman
ACW,Royal Air Force
RRR,Royal Air Force
RRF,Royal Air Force
SHF,Royal Air Force
RAX,Royal Air Freight
RAM,Royal Air Maroc
RPK,Royal Airlines
RLM,Royal American Airways
RYL,Royal Aruban Airline
ASY,Royal Australian Air Force
RXP,Royal Aviation Express
RYB,Royal Bahrain Airlines
RBA,Royal Brunei Airlines
KDR,Royal Daisy Airlines
RGA,Royal Ghanaian Airlines
ROJ,Royal Jet
RJA,Royal Jordanian
RJZ,Royal Jordanian Air Force
RKH,Royal Khmer Airlines
RMF,Royal Malaysian Air Force
NVY,Royal Navy
RNA,Royal Nepal Airlines
NRN,Royal Netherland Navy
NAF,Royal Netherlands Air Force
KIW,Royal New Zealand Air Force
NOW,Royal Norwegian Air Force
ROP,Royal Oman Police
PPW,Royal Phnom Penh Airways
RRA,Royal Rwanda Airlines
RSF,Royal Saudi Air Force
RYS,Royal Sky
RSN,Royal Swazi National Airways
HRH,Royal Tongan Airlines
RWE,Royal West Airlines
RSB,Rubystar
RMG,Rumugu Air & Space Nigeria
RUR,Rusaero
KLE,Rusaero
CGI,Rusair JSAC
RUH,Rusich-T
RLU,Rusline
MIG,Russian Aircraft Corporation-MiG
RFF,Russian Federation Air Force
ESL,Russian Sky Airlines
RUZ,Rusuertol
RUC,Rutas Aereas
RND,Rutland Aviation
RUA,Rwanda Airlines
RWA,Rwanda Airways
RWD,Rwandair Express
RCT,Ryan Air Service
RYA,Ryan Air Services
RYN,Ryan International Airlines
RYR,Ryanair
RYZ,Ryazan State Air Enterprise
RAA,Rynes Aviation
RAE,Régional
BDS,South Asian Airlines
BEC,State Air Company Berkut
RZO,SATA International
SAA,South African Airways
SAB,Sky Way Air
SAC,SASCO Airlines
SAF,Republic of Singapore Air Force
SAG,SOS Flygambulans
SAH,Sayakhat Airlines
SAI,Shaheen Air International
SAJ,Golden Eagle Air Services (FAA)
SAK,Red Arrows Display Squadron
SAM,SAM Colombia
SAN,Servicios Aereos Nacionales (SAN)
SAO,Sahel Aviation Service
ANX,Secretaria de Marina
SAQ,Springbank Aviation
SAS,Scandinavian Airlines System
SAV,Samal Air
SAW,Sham Wing Airlines
SAX,Sabah Air
SAY,ScotAirways
SAZ,Swiss Air-Ambulance
SBA,STA-MALI
SBB,Steinman Aviation
SBF,Seven Bar Flying Service
SBG,Sabre Incorporated
SBI,S7 Airlines
SBL,Sobel Airlines of Ghana
SBM,Sky Bahamas
SBO,Stabo Air
SBQ,Smithkline Beacham Clinical Labs
SBR,Saber Aviation
SBS,Seaborne Airlines
SBU,Saint Barth Commuter
URJ,Star Air
SBZ,Scibe Airlift
AME,Spanish Air Force
SCA,South Central Air
SCC,Seacoast Airlines
SCE,Scenic Airlines
SCF,Socofer
SCI,Servicios Aereos San Cristobal
SCK,Sky Cam
SCL,Switfair Cargo
SCN,South American Airlines
AHI,Servicios Aereos de Chihuahua Aerochisa
ALK,SriLankan Airlines
CDL,Sunbird Airlines
SCP,Scorpio
SCR,Si-Chang Flying Service
SCS,South African Non Scheduled Airways
SCT,SAAB-Aircraft
SCV,Servicios Aereos Del Centro
SCX,Sun Country Airlines
SDA,St. Andrews Airways
SDB,Sukhoi Design Bureau Company
SDC,Sunrise Airlines
SDD,Skymaster Air Taxi
SDF,Sundorph Aeronautical Corporation
SDH,Servicio De Helicopteros
SDK,SADELCA - Sociedad Aerea Del Caqueta
SDL,Skydrift
SDN,Spirit of Africa Airlines
SDU,Sud Airlines
SDV,Servicios Aereos Del Vaupes
SDX,Servicio Tecnico Aero De Mexico
SDZ,Sudan Pezetel for Aviation
SEA,Southeast Air
SEB,Servicios Aereos Luce
SED,Sedona Air Center
SEE,Shaheen Air Cargo
SEH,Sky Express
SEJ,Spicejet
SEK,Skyjet
SEL,Sentel Corporation
SEO,Selcon Airlines
SEQ,Sky Eyes
SES,Servicio Aereo Saltillo
SET,SAETA
SEV,Serair Transworld Press
SFA,SEFA
SFC,Shuswap Flight Centre
SFE,Sefofane Air Charters
SFF,Safewings Aviation Company
SFG,Sun Freight Logistics
SFJ,Star Flyer
SFL,Southflight Aviation
SFN,Safiran Airlines
SFP,Safe Air
SFR,Safair
SFS,Southern Frontier Air Transport
SFT,Skyfreight
SFU,Solent Flight
SFX,S.K. Logistics
SGB,Sky King
SGC,Southern Right Air Charter
SGD,Sky Gate International Aviation
SGF,STAC Swiss Government Flights
SGH,Servisair
SGI,Servicios Aereos Agricolas
SGK,Skyward Aviation
SGM,Sky Aircraft Service
SGN,Siam GA
SGP,Sagolair Transportes Ejecutivos
SGS,Saskatchewan Government Executive Air Service
SGT,Skygate
SGU,Samgau
SGX,Saga Airlines
SGY,Skagway Air Service
SHB,Shabair
SHC,Sky Harbor Air Service
SHD,Sahara Airlines
SHE,Shell Aircraft
SHG,Shoprite Group
SHI,Seoul Air International
SHJ,Sharjah Ruler's Flight
SHK,Shorouk Air
SHL,Samson Aviation
SHM,Sheltam Aviation
SHN,Shaheen Airport Services
SHO,Sheremetyevo-Cargo
SHP,Service Aerien Francais
SHQ,Shanghai Airlines Cargo
SHR,Shooter Air Courier
SHS,Shura Air Transport Services
SHU,Sakhalinskie Aviatrassy (SAT)
SAT,SATA Air Acores
,Scorpio Aviation
SHV,Shavano Air
SHW,Shawnee Airline
SHX,Slim Aviation Services
SHY,Sky Airlines
SIA,Singapore Airlines
SIB,Sibaviatrans
SIE,Sierra Express
SIH,Skynet Airlines
SIJ,Seco International
SIL,Servicios Aeronauticos Integrales
SIM,Star Air
SIO,Sirio
SIR,Salair
SIS,Saber Airlines
SIT,SITA
SIV,Slovenian Armed Forces
SIW,Sirio Executive
SJA,Servicios Aereos Especiales De Jalisco
SJC,Servicios Ejecutivos Continental
SJE,Sunair 2001
SJJ,Spirit Aviation
SJL,Servicios Especiales Del Pacifico Jalisco
SJT,Swiss Jet
SJY,Sriwijaya Air
SMY,Sama Airlines
ALC,Southern Jersey Airways
SPS,SPASA
SPT,Speed Aviation
SPU,Southeast Airmotive
SPV,Servicios Privados De Aviacion
SPW,Speedwings
SPX,Service People Gesselschaft fur Charter und Service
SQA,Slovak National Aeroclub
SQC,Singapore Airlines Cargo
SQF,Slovak Air Force
SQL,Servicos De Alquiler
SRA,Sair Aviation
SRC,Searca
SRH,Siem Reap Airways
SRK,Sky Work Airlines
SRL,Swedline Express
SRL,Servicios Aeronauticos Aero Personal
SRN,Sirair
SRO,Servicios Aereos Ejecutivos Saereo
SRQ,South East Asian Airlines
SRR,Star Air
SRS,Selkirk Remote Sensing
SRU,Star Up
SRW,Sarit Airlines
SRX,Sierra Expressway Airlines
SRZ,Strato Air Services
SSB,Sasair
SSC,Southern Seaplane
SSD,Star Service International
SSE,Servicios Aereos Sunset
SSF,Severstal
SSG,Slovak Government Flying Service
BBB,SwedJet Airways
SSK,Skystar International
SSO,Special Scope Limited
SSP,Starspeed
SSQ,Sunstate Airlines
SSS,SAESA
SST,Sunwest Airlines
SSU,SASCA
SSV,Skyservice Airlines
SSW,Streamline Aviation
SSY,Sky Aviation
SSZ,Specsavers Aviation
STA,Star Aviation
STB,Status-Alpha Airline
STC,Stadium City Limited
STD,Servicios De Aerotransportacion De Aguascalientes
STE,Semitool Europe
STF,SFT-Sudanese Flight
STG,Sedalia
STH,South-Airlines
STI,Sontair
STJ,Sella Aviation
STL,Stapleford Flight Centre
STO,Streamline Ops
STQ,Star Air
STU,Servicios de Transportes A
STU,Star African Air
STV,Southern Aviation
STW,South West Air Corporation
STX,Stars Away Aviation
STY,Styrian Airways
SUA,Silesia Air
SUB,Suburban Air Freight
SUD,Sudan Airways
SUF,Sun Air (Fiji)
SUG,Sunu Air
SUH,Sun Light
SUI,Swiss Air Force
SUK,Superior Aviation Services
SUM,State Unitary Air Enterprise
SUR,Sun Air
SUS,Sun Air of Scandinavia
SUT,Sistemas Aeronauuticos 2000
SUU,Star West Aviation
SUV,Sundance Air
SVA,Saudi Arabian Airlines
SVD,St. Vincent Grenadines Air (1990)
SVF,Swedish Armed Forces
AWJ,Sahel Airlines
SVH,Sterling Helicopters
SVI,Servicios De Transporte Aereo
APD,Sabre Pacific
SVJ,Silver Air
SVL,Sevastopol-Avia
SVN,Savanair (Angola)
SVO,Servicios Aeronauticos De Oriente
SVS,Servicios Aereos Saar
SVT,Seven Four Eight Air Services
SVX,Security Aviation
SWA,Southwest Airlines
SWB,Swissboogie Parapro
SWC,South West Air
SWD,Southern Winds Airlines
SWE,Swedeways
ASL,Spurling Aviation
SWG,Sunwing Airlines
SWI,Sunworld Airlines
SWJ,Stateswest Airlines
SWO,Surninam International Victory Airline
SWP,Star Work Sky
SWQ,Swift Air (Interstate Equipment Leasing)
SWR,Swiss International Air Lines
SWR,Swissair
SWS,Sunwest Aviation (Lindquist Investment)
SWT,Swiftair
SWU,Swiss European Air Lines
SWV,Swe Fly
SWW,Shovkoviy Shlyah
SWX,Swazi Express Airways
SWY,Sky Jet
SWZ,Servair
SXA,Southern Cross Aviation
SXC,Sky Exec Aviation Services
SXE,Southeast Express Airlines
SXM,Servicios Aereos Sepecializados Mexicanos
SXS,SunExpress
SXT,Servicios De Taxi Aereo
SXX,Satellite Aero
SXY,Safari Express Cargo
SYA,Skyways
SYC,Systec 2000
SYE,Sheba Aviation
SYF,Sky One Express Airlines
SYG,Synergy Aviation
SYI,Sonalysts
SYJ,Slate Falls Airways
SYK,Satsair
SYN,Syncrude Canada
SYR,Syrian Arab Airlines
SYS,Shawbury Flying Training Unit
SYV,Special Aviation Systems
SYX,Skywalk Airlines
AZQ,Silk Way Airlines
SYY,South African Historic Flight
SZT,Servicios Aeronauticos Z
BHV,Specavia Air Company
BLY,Starair
BNC,Sundance Air
BRZ,Samara Airlines
BVV,Spark+ Joint-Stock Company
CBN,Swedish Civil Aviation Administration
CDG,Shandong Airlines
CDS,Spectrem Air
CEE,Servicios Aereos Centrales
CFL,Swedish Airlines
CGL,Seagle Air
CIG,Sirius-Aero
CNK,Sunwest Home Aviation
CNO,SAS Braathens
CQH,Spring Airlines
CSC,Sichuan Airlines
CSH,Shanghai Airlines
CSY,Shuangyang General Aviation
CSZ,Shenzhen Airlines
CXI,Shanxi Airlines
DKT,Sioux Falls Aviation
DKY,Servicios Aereos Elite
DNI,Servicios Aereos Denim
EAB,Swiss Eagle
EAN,Skypower Express Airways
ENR,Scenic Air
ERO,Sun D'Or
ESK,SkyEurope
EXL,Sunshine Express Airlines
EXY,South African Express
FFD,Stuttgarter Flugdienst
FFH,Shalom Air Services
FJE,Silverjet
FLH,Sky Bus
GAD,South Coast Aviation
GDE,Servicios Aereos Gadel
GDG,S.P. Aviation
GIK,Seba Airlines
GNA,Servicios Aereos Gana
GSW,Sky Wings Airlines
GXL,Star XL German Airlines
HAU,Skyhaul
HIP,Starship
HJE,Servicios Ejecutivos Gosa
HKA,Superior Aviation
HLO,Samaritan Air Service
HRI,Skyraidybos Mokymo Centras
HSK,Sky Europe Airlines
HSV,Svenska Direktflyg
HSY,Sky Helicopteros
IGA,Skytaxi
IJS,Silvair
ILS,Servicios Aereos Ilsa
INK,Sincom-Avia
IRV,Safat Airlines
IRZ,Saha Airlines Services
JAM,Sunline Express
JCM,Secure Air Charter
JIM,Sark International Airways
JKK,Spanair
KKS,Salem
KOP,Servicios Aereos Copters
KSP,Servicios Aereos Expecializados En Transportes Petroleros
KYB,Skybridge Airops
KYR,Sky Aeronautical Services
LGU,Servicios Aereos Ejecutivos De La Laguna
LLA,Servico Leo Lopex
LLS,Servicios Aereos Estrella
LMG,South African Air Force
LMO,Sky Limo Corporation
LRS,SANSA
LSP,Spectrum Aviation Incorporated
MCG,SOS Helikoptern Gotland
MDT,Sundt Air
MLO,Servicios Aereos Milenio
MMS,SAAD (A320) Limited
MRI,Servicios Aereos Moritani
MRR,San Juan Airlines
MSG,Servico Aereo Regional
MSP,Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica
MTG,Servicios Aereos MTT
,Sabre Pacific
,Sabre
,Sierra Nevada Airlines
,Siren-Travel
,Sirena
,Sky Trek International Airlines
,Southern Cross Distribution
,Sutra
,SNCF
,Star Equatorial Airlines
NAD,Seulawah Nad Air
NAZ,Servicios Aereos del Nazas SA de CV
NCS,Simpson Air Ltd
NKS,Spirit Airlines
NON,Servicios Aereos Latinoamericanos
NRZ,Servicios Aereos Monarrez
NSC,Societe De Transport Aerien De Mauritanie
NSE,SATENA
NTB,Servicios Aereos Del Norte
NTG,Servicios Intergrales De Aviacion
OKS,Slok Air Gambia
OKT,Soko Aviation
OLC,Solar Cargo
OLO,Soloflight
ONG,Sonnig SA
OSL,Sosoliso Airlines
OSS,Servicios Aereos Noticiosos
OTL,South Airlines
OZW,Skywest Airlines
PIV,Sokol
PLT,South Carolina Aeronautics Commission
PMR,Servicios Aereos Premier
PNS,Survey Udara (Penas)
POB,Servicios Aereos Poblanos
PSV,Servicios Aereos Profesionales
PTM,Southeastern Airways
PUR,Spurwing Airlines
PZR,Sky Trek International Airlines
RBW,Shandong Airlines Rainbow Jet
REJ,SA Airlink Regional
RER,Servicio Aereo Regional Regair
RFT,Scoala Superioara De Aviatie Civila
RGC,Servicios Aereos Regiomontanos
RLS,S-Air
RMP,Servicios De Rampa Y Mostrador
RSE,SNAS Aviation
SKB,Skybus Airlines
SKC,Skymaster Air Lines
SKD,Sky Harbor Air Service
SKE,Sky Tours
AZG,Sakaviaservice
SKF,Skycraft
SKG,Skycraft Air Transport
SKI,Skyking
SKI,SkyKing Turks and Caicos Airways
SKK,Skylink Aviation
SKL,Skycharter (Malton)
SKN,Skyline Aviation Services
SKO,Scottish Airways Flyers
SKR,Skyscapes Air Charters
SKS,Sky Service
BBR,Santa Barbara Airlines
SKT,Skystar Airways
SKU,Sky Airline
SKW,SkyWest
SKX,Skyways Express
SKY,Skymark Airlines
SKZ,Skyway Enterprises
SLA,Sierra National Airlines
SLB,Slok Air
SLD,Silver Air
SLE,Streamline
SLF,Starfly
SLG,Saskatchewan Government
SLH,Silverhawk Aviation
AGE,Servicios Aereos de Los Angeles
SLK,SilkAir
SLL,Slovak Airlines
SLM,Surinam Airways
SLN,Sloane Aviation
SLP,Salpa Aviation
SLS,Servicios Aereos Slainte
SLV,Stella Aviation
SLW,Salama Airlines Nigeria
SLX,Sete Linhas Aereas
SLY,Sky Line for Air Services
SLZ,Super Luza
SMA,SMA Airlines
SMC,Sabang Merauke Raya Air Charter
SMD,Servicios Aereos La Marquesa
,Servant Air
SME,Semos
SMF,Smalandsflyg
SMH,Smithair
SMK,Semeyavia
SML,Smith Air (1976)
SMM,Summit Airlines
SMQ,Samar Air
SMR,Somon Air
SMT,Skyline
AOS,Servicios Aerecs Del Sol
SNA,Senator Aviation Charter
SNB,Sterling Airlines
SNE,Servicios Aereos De Nicaragua (SANSA)
SNF,Shans Air
SNH,Senair Services
SNI,Savanah Airlines
SNJ,Skynet Asia Airways
SNK,Southeast Airlines (Sun Jet International)
SNL,Soonair Lines
SNM,Servizi Aerei
SNP,Sun Pacific International
SNQ,Sun Quest Executive Air Charter
SNS,Societe Centrafricaine De Transport Aerien
SNT,Suncoast Aviation
SNU,Snunit Aviation
SNV,Sudanese States Aviation
SNW,Sun West Airlines
SNX,Sun Air Aviation Services
SOB,Stabo Freight
SOC,Southern Cargo Air Lines
SOH,Southern Ohio Aviation Sales
SOI,Southern Aviation
SOL,Solomon Airlines
SOM,Somali Airlines
SON,Sunshine Air Tours
SOO,Southern Air
SOP,Solinair
SOR,Sonair Servico Aereo
SOT,Southeast Correct Craft
SOU,Southern Airways
SOV,Saratov Aviation Division
SOW,Sowind Air
SOX,Solid Air
SOZ,Sat Airlines
SPA,Sierra Pacific Airlines
SPB,Springbok Classic Air
SPC,Skyworld Airlines
SPE,Sprague Electric Company
SPF,Space World Airline
SPG,Springdale Air Service
SPH,Sapphire Executive Air
SPI,South Pacific Island Airways
SPL,Servicios Corporativos Aereos De La Laguna
SPN,Skorpion Air
SPP,Sapphire Aviation
SPQ,Servicios Aereos Palenque
TBS,Servicios Aereos Tribasa
TCF,Shuttle America
TGT,SAAB Nyge Aero
THB,Spark Air
TIH,S C Ion Tiriac
TRL,Starlite Aviation
TRN,Servicios Aereos Corporativos
TTM,Societe Tout Tranport Mauritanien
TZU,Servicios Aereos Tamazula
UGP,Shar Ink
UKU,Second Sverdlovsk Air Enterprise
UNT,Servicios Aereos Universitarios
USK,Skif-Air
USN,Smarkand Aero Servise
UZS,Samarkand Airways
VDO,Servicios Aereos Avandaro
VGS,Stichting Vliegschool 16Hoven
VRB,Silverback Cargo Freighters
VRS,Sirvair
VSV,Scat Air
VXN,Sunset Aviation
WCC,Sport Air Travel
WFC,Swift Copters
WLK,Skyrover CC
XLK,Safarilink Aviation
XMX,SENEAM
XPG,Southport Air Service
XSA,Spectrum Air Service
XSN,Stephenville Aviation Services
XTA,Servicios Aereos Textra
XTR,Sector Airlines
XXS,Skyplan Services
YBE,Stewart Aviation Services
,Sirin
,Star Air
FYA,Servicios Aereos Integrales / Flyant
UFA,State Flight Academy of Ukraine
SWL,Trans Jet Airways
TAC,Turbot Air Cargo
TAD,Tranporte Aereo Dominicano
TAE,TAME
BAP,Trans International Express Aviation
TAG,TAG Aviation USA
TAL,Talair
TAM,TAM Brazilian Airlines
AUC,Transaustralian Air Express
TAP,TAP Portugal
TAR,Tunisair
TAU,Transportes Aereos Tauro
TAX,Travelair
TAY,TNT Airways
TBA,Transbrasil
TBC,Turbine Air Cargo UK
TBD,Thunderbird Tours
TBG,Tropical Airways
TBH,Trinity Air Bahamas
TBI,TAB Express International
TBM,Taban Air Lines
TBN,Teebah Airlines
TBR,Tubelair
TBX,Tobago Express
TCA,Tropican Air Services
TCB,Transporte del Caribe
TCC,Trans Continental Airlines
TCD,Tchad Airlines
TCE,Trans-Colorado Airlines
TCG,Thai Air Cargo
TCH,Transcontinental Air
TCM,Teledyne Continental Motors
TCN,Trans Continental Airlines
TCP,Transcorp Airways
TCT,Transcontinental Sur
TCU,Transglobal Airways Corporation
TCW,Thomas Cook Airlines
TCX,Thomas Cook Airlines
TCY,Twin Cities Air Service
TDC,Tadair
TDE,Tellavia / Flight One
TDI,Transportes Aereos de Ixtlan
TDM,Tandem Aero
TDO,TRADO
TDR,Trade Air
TDV,Taxi Aero Nacional Del Evora
TDX,Tradewinds Airlines
TEB,Tenir Airlines
TLW,Teamline Air
TEF,Tecnicas Fotograficas
TEH,Tempelhof Airways
TEL,Telford Aviation
TEM,Tech-Mont Helicopter Company
TEN,Tennessee Airways
TER,Territorial Airlines
TES,TAES Transportes Aereos de El Salvador
TEP,Transeuropean Airlines
TET,Tepavia-Trans Airlines
TFA,Trans-Florida Airlines
TFB,Tair Airways
TFF,Talon Air
AIM,Trabajos Aereos Murcianos
TFH,Thai Flying Helicopter Service
TFI,Transport Facilitators
TFK,Transafrik International
TFO,Transportes Aereos del Pacifico
TFT,Thai Flying Service
SRF,Transportes Aereos San Rafael
TFY,Tayside Aviation
TGC,TG Aviation
TGE,Trabajos Aereos
TGI,Transportes Aereos Regionales
TGM,TAG Aviation Espana
TGN,Trigana Air Service
AWC,Titan Airways
TGO,Transport Canada
TGW,Tiger Airways
TGW,Tiger Airways Australia
TGX,Transair Gabon]
TGY,Trans Guyana Airways
THA,Thai Airways International
THC,Tar Heel Aviation
THE,Toumai Air Tchad
THF,Touraine Helicoptere
THG,Thai Global Airline
THJ,Thai Jet Intergroup
THK,Turk Hava Kurumu Hava Taksi Isletmesi
AIQ,Thai AirAsia
THO,TACA De Honduras
THR,Tehran Airline
THU,Thunder Airlines
THY,Turkish Airlines
THZ,Trans Helicoptere Service
TIA,Trans International Airlines
TIC,Travel International Air Charters
TIE,Time Air
TIK,Tic Air
TIL,Tajikistan International Airlines
TIM,TEAM Transportes Aereos
TIN,Taino Tours
TIS,Tesis
TIW,Transcarga Intl Airways
TJK,Tajikair
TJN,Tien-Shan
TJS,Tyrolean Jet Service
TJT,Twin Jet
TKC,Tikal Jets Airlines
TKE,Take Air Line
TKX,Tropical International Airways
TKY,Thai Sky Airlines
TLA,Translift Airways
TLF,Transport Africa
TLL,Trans Atlantic Airlines
TLO,Eagle Canyon Airlines
TLP,Tulip Air
TAJ,Tunisavia
TLS,TLC Air
TLT,Turtle Airways
TLV,Travelair
TLX,Telesis Transair
TLY,Top-Fly
TMA,Trans Mediterranean Airlines
TMD,Transmed Airlines
TMG,Tri-MG Intra Asia Airlines
TMH,Taxis Turisticos Marakame
TMI,Tamir Airways
TMK,Tomahawk Airways
TML,TAM
TMM,TMC Airlines
TMQ,TRAM
TMR,Timberline Air
TMS,Temsco Helicopters
TMT,Trans Midwest Airlines
TMX,Tramon Air
TMY,Transportes Aereos del Mundo Maya
TMZ,Tranporte Amazonair
TNB,Trans Air-Benin
TNE,Taxis Aereos del Noroeste
TNF,Transafricaine
TNG,Tennessee Air National Guard 164th Airlift Group
TNI,Transair International Linhas Aereas
TNL,Tengeriyn Ulaach Shine
TNM,Tiara Air
TNP,Transped Aviation
TNR,Tanana Air Services
TNT,Trans North Turbo Air
TNV,Transnorthern
TNW,Trans Nation Airways
TNX,Trener Ltd
TNY,Twin Town Leasing Company
TOB,Tobruk Air
TOJ,TOJ Airlines
TOL,Tol-Air Services
TOM,Thomsonfly
TOP,Top Air
TOR,Toronto Airways
TOS,Tropic Air
TOT,Totavia
TOW,Tower Air
TOY,Toyota Canada
TPA,TAMPA
TPD,Top Speed
TPF,Taxis Aereos del Pacifico
TPG,Transportes Aereos Pegaso
TPL,TAR Interpilot
TPM,Transpais Aereo
TPN,Transportacion Aerea del Norte
TPP,Transpac Express
TPR,Taxis Aereos De Parral
TPS,TAPSA Transportes Aereos Petroleros
TPT,Transportes Aereo del Sureste
TPU,Trans American Airlines (Trans Am)
TPV,Thai Pacific Airlines Business
TPX,Transportes Aereos De Xalapa
TPY,Trans-Provincial Airlines
TPZ,Transportes La Paz
TQN,Taquan Air Services
TQR,Transportacion Aerea De Queretaro
TNA,TransAsia Airways
TRA,Transavia Holland
TRC,Trans Air Charter
TCV,TACV
TRD,Trans Island Air
TRF,Taxi Air Fret
TRG,TRAGSA (Medios Aereos)
TRJ,Trans Euro Air
TRM,Transport Aerien de Mauritanie
TRO,Tropic Airlines-Air Molokai
TRQ,Turdus Airways
TRR,Tramson Limited
TRT,Trans Arabian Air Transport
TRU,Triangle Airline (Uganda)
TRW,Transwestern Airlines of Utah
TRY,Tristar Airlines
TRZ,TransMeridian Airlines
TSA,Transair France
TSD,TAF-Linhas Aereas
TSE,Transmile Air Services
TSG,Trans-Air-Congo
TSI,Transport'air
TSJ,Trast Aero
TSK,Trast Aero
TSL,Thai Aviation Services
SBT,Taftan Airlines
ABS,Transwest Air
TSM,Trans Sayegh Airport Services
TSN,Trans-Air Services
TSO,Transaero Airlines
TSP,Transportes Aereos Inter
TSR,Trans Service Airlift
TSS,Tri-State Aero
TST,TRAST
TSV,Tropair Airservices
TSW,Transwings
TSX,Thai Star Airlines
TSY,Tristar Air
TTA,TTA - Sociedade de Transporte e Trabalho Aereo
TTC,Transteco
TTH,Tarhan Tower Airlines
TTL,Total Linhas Aereas
TTP,Triple O Aviation
TTR,Transportaciones Y Servicios Aereos
TTS,Transporte Aereo Tecnico Ejecutivo
TUA,Turkmenistan Airlines
TUC,Turismo Aereo de Chile
TUI,Tuninter
TUL,Tulpar Air
TUM,Tyumenspecavia
TUO,Taxi Aereo Turistico
TUX,Tulpar Air Service
TUZ,Tuna Aero
TVA,Trans America Airlines
TVH,Trabajos Aereos Vascongados
TVI,Tiramavia
TVL,Travel Service
TVO,Transavio
TVR,Tavrey Airlines
TVS,Travel Service
TWA,Trans World Airlines
TWE,Transwede Airways
TWJ,Twinjet Aircraft Sales
TWL,Tradewinds Aviation
TWM,Transairways
TWO,Twente Airlines
TWW,Trans Air Welwitchia
TXA,Texair Charter
TXC,Transaviaexport
TXE,Transilvania Express
TXL,Taxi Aereo Cozatl
TXM,Taxi Aereo de Mexico
TXN,Texas National Airlines
TXO,Taxis Aereos de Sinaloa
TXR,Taxirey
TXS,Texas Airlines
TXT,Texas Air Charters
TXZ,Tex Star Air Freight
TYF,Tayflite
TYG,Trygg-Flyg
TYW,Tyrol Air Ambulance
TZE,Transporte Aereo Ernesto Saenz
TZK,Tajikstan
BLI,Thyssen Krupp AG
BLX,TUIfly Nordic
BOL,Transportes Aereos Bolivianos
BOX,Tiphook PLC
CHE,Top Flight Air Service
CLR,Trans America
CLU,Triple Alpha
CTP,Tashkent Aircraft Production Corporation
CWT,Texas Airways
DCL,Transportes Aereos Don Carlos
DOT,Telnic Limited
DRC,Triton Airlines
DTA,TAAG Angola Airlines
DTH,Tassili Airlines
EAR,Transporte Ejecutivo Aereo
ELV,Transportes Aereos Nacionales De Selva Tans
FBO,TAG Farnborough Airport
FNV,Transaviaservice
FPG,TAG Aviation
GFN,The 955 Preservation Group
GJB,Trans-Air-Link
GPD,Tradewind Aviation
HBA,Trail Lake Flying Service
HET,TAF Helicopters
HTO,Tango Bravo
HVK,Turkish Air Force
IHS,Thryluthjonustan
IRF,TA-Air Airline
IRR,Tara Air Line
JCH,Trading Air Cargo
KCA,Trans-Kiev
JEL,Tal Air Charters
KRA,Transcontinental Airlines
KTB,Transaviabaltika
KTS,Transair-Gyraintiee
LAP,TAM Mercosur
LCC,The Lancair Company
LEG,The Army Aviation Heritage Foundation
LKW,Top Sky International
LOF,Trans States Airlines
LTA,Trans Atlantis
MCT,Transportacion Aerea Del Mar De Cortes
MGM,Transporte Aero MGM
MOH,Tigerfly
MPO,Transportes Aereos Amparo
MUI,Trans Air
MXQ,Transportes Aereos Mexiquenses
,Travelsky Technology
,Thalys
NTR,TNT International Aviation
OSY,Open Skies Consultative Commission
PCW,Trans-Pacific Orient Airways
